customer_id,age,gender,city,signup_date,customer_segment,
C00001,59,Female,Pune,08-04-2023,Budget,
C00002,62,Male,Bengaluru,27-04-2025,Budget,
C00003,53,Female,Mumbai,17-12-2024,Budget,
C00004,24,Female,Hyderabad,25-04-2024,Regular,
C00005,29,Female,Guntur,19-04-2024,Regular,
C00006,28,Male,Mumbai,29-07-2025,Budget,18
C00007,25,Male,Bengaluru,05-04-2023,Premium,64
C00008,26,Female,Kolkata,02-02-2025,Budget,
C00009,32,Male,Vijayawada,09-08-2023,Regular,
C00010,44,Other,Vijayawada,14-04-2023,Premium,0
C00011,36,Female,Bengaluru,30-07-2024,Regular,0
C00012,37,Male,Ahmedabad,04-12-2025,Budget,0
C00013,29,Male,Mumbai,16-03-2025,Premium,0
C00014,25,Female,Guntur,13-04-2025,Regular,0
C00015,64,Male,Kolkata,24-02-2025,Budget,
C00016,46,Female,Ahmedabad,10-05-2025,Budget,
C00017,28,Male,Guntur,15-07-2024,Premium,
C00018,56,Male,Guntur,21-05-2023,Budget,
C00019,57,Male,Bengaluru,08-07-2025,Regular,
C00020,63,Female,Ahmedabad,08-05-2024,Budget,
C00021,25,Other,Bengaluru,01-07-2024,Budget,
C00022,48,Female,Vijayawada,11-02-2024,Premium,
C00023,64,Female,Kolkata,19-07-2023,Premium,
C00024,55,Female,Bengaluru,11-10-2025,Budget,
C00025,28,Male,Chennai,05-05-2025,Budget,
C00026,59,Female,Guntur,06-12-2024,Regular,
C00027,37,Female,Kolkata,16-03-2024,Regular,
C00028,40,Male,Chennai,19-06-2025,Regular,
C00029,44,Other,Guntur,20-08-2024,Budget,
C00030,54,Male,Ahmedabad,30-04-2024,Premium,
C00031,23,Male,Hyderabad,08-05-2024,Budget,
C00032,43,Female,Chennai,06-09-2023,Budget,
C00033,56,Female,Guntur,11-04-2023,Budget,
C00034,43,Male,Mumbai,30-08-2024,Budget,
C00035,30,Female,Hyderabad,30-08-2025,Regular,
C00036,20,Male,Kolkata,11-03-2023,Budget,
C00037,43,Female,Guntur,28-07-2025,Regular,
C00038,51,Female,Pune,25-06-2025,Regular,
C00039,43,Male,Vijayawada,31-10-2023,Budget,
C00040,64,Female,Bengaluru,22-11-2024,Premium,
C00041,46,Female,Kolkata,30-06-2023,Regular,
C00042,41,Female,Kolkata,10-04-2025,Budget,
C00043,20,Male,Vijayawada,06-02-2025,Budget,
C00044,44,Male,Pune,24-01-2024,Regular,
C00045,25,Female,Guntur,16-03-2023,Regular,
C00046,52,Female,Bengaluru,28-11-2025,Regular,
C00047,25,Female,Hyderabad,03-05-2024,Regular,
C00048,60,Female,Ahmedabad,04-09-2025,Budget,
C00049,32,Female,Hyderabad,12-01-2025,Premium,
C00050,38,Male,Guntur,02-05-2025,Budget,
C00051,24,Female,Hyderabad,12-04-2025,Budget,
C00052,27,Female,Kolkata,02-08-2023,Regular,
C00053,61,Male,Delhi,03-02-2024,Budget,
C00054,31,Male,Kolkata,26-05-2024,Regular,
C00055,42,Female,Kolkata,29-06-2024,Budget,
C00056,64,Female,Delhi,17-02-2023,Regular,
C00057,47,Female,Delhi,21-08-2024,Regular,
C00058,19,Male,Pune,18-06-2023,Regular,
C00059,34,Other,Kolkata,24-03-2025,Regular,
C00060,36,Male,Ahmedabad,17-01-2025,Budget,
C00061,30,Male,Delhi,07-10-2025,Regular,
C00062,29,Other,Mumbai,26-03-2025,Regular,
C00063,41,Female,Hyderabad,06-02-2024,Regular,
C00064,35,Female,Ahmedabad,25-11-2025,Budget,
C00065,31,Female,Chennai,25-03-2024,Budget,
C00066,37,Female,Delhi,23-12-2023,Regular,
C00067,34,Male,Vijayawada,18-09-2025,Regular,
C00068,28,Male,Ahmedabad,10-02-2024,Regular,
C00069,39,Female,Mumbai,25-03-2023,Premium,
C00070,62,Female,Delhi,29-05-2024,Regular,
C00071,41,Male,Mumbai,21-05-2025,Regular,
C00072,46,Male,Kolkata,27-07-2023,Regular,
C00073,64,Male,Bengaluru,21-05-2024,Budget,
C00074,46,Male,Vijayawada,23-05-2023,Regular,
C00075,28,Female,Vijayawada,21-01-2025,Regular,
C00076,36,Male,Chennai,04-06-2024,Budget,
C00077,40,Male,Chennai,28-12-2023,Budget,
C00078,40,Female,Pune,06-09-2023,Regular,
C00079,25,Female,Kolkata,10-09-2024,Regular,
C00080,22,Male,Kolkata,03-01-2025,Budget,
C00081,34,Male,Hyderabad,26-10-2025,Budget,
C00082,60,Male,Ahmedabad,23-04-2024,Budget,
C00083,51,Male,Hyderabad,25-06-2023,Regular,
C00084,57,Male,Mumbai,30-06-2025,Premium,
C00085,26,Male,Ahmedabad,20-11-2024,Premium,
C00086,37,Male,Guntur,05-02-2025,Regular,
C00087,45,Male,Kolkata,17-04-2023,Budget,
C00088,38,Male,Bengaluru,09-12-2023,Budget,
C00089,37,Female,Kolkata,20-04-2025,Regular,
C00090,34,Male,Hyderabad,30-06-2025,Regular,
C00091,20,Male,Chennai,21-04-2024,Regular,
C00092,58,Female,Bengaluru,31-05-2025,Budget,
C00093,61,Male,Vijayawada,10-07-2025,Premium,
C00094,21,Female,Mumbai,29-02-2024,Budget,
C00095,37,Female,Pune,10-09-2025,Regular,
C00096,42,Female,Ahmedabad,12-11-2023,Premium,
C00097,54,Male,Vijayawada,20-09-2023,Regular,
C00098,64,Female,Vijayawada,17-01-2025,Regular,
C00099,37,Female,Bengaluru,28-11-2024,Regular,
C00100,53,Male,Mumbai,03-06-2023,Regular,
C00101,62,Male,Delhi,30-06-2025,Regular,
C00102,57,Male,Ahmedabad,07-08-2023,Regular,
C00103,31,Female,Mumbai,31-05-2025,Regular,
C00104,56,Male,Chennai,09-01-2023,Regular,
C00105,37,Male,Ahmedabad,22-05-2025,Regular,
C00106,18,Female,Delhi,11-05-2025,Regular,
C00107,53,Female,Ahmedabad,04-05-2025,Regular,
C00108,57,Male,Mumbai,29-12-2024,Budget,
C00109,34,Male,Delhi,31-05-2024,Regular,
C00110,39,Male,Hyderabad,11-02-2025,Premium,
C00111,35,Female,Hyderabad,31-10-2023,Budget,
C00112,23,Male,Hyderabad,04-05-2025,Budget,
C00113,64,Female,Bengaluru,31-08-2024,Budget,
C00114,19,Male,Mumbai,17-05-2024,Regular,
C00115,44,Male,Hyderabad,07-07-2024,Budget,
C00116,18,Male,Bengaluru,14-09-2024,Regular,
C00117,50,Male,Guntur,10-02-2023,Budget,
C00118,60,Female,Guntur,03-06-2023,Budget,
C00119,48,Female,Chennai,26-09-2023,Budget,
C00120,46,Male,Vijayawada,06-05-2023,Budget,
C00121,56,Female,Bengaluru,26-04-2024,Regular,
C00122,63,Male,Hyderabad,01-01-2025,Premium,
C00123,58,Female,Mumbai,17-12-2024,Regular,
C00124,28,Male,Chennai,30-05-2024,Premium,
C00125,44,Female,Hyderabad,25-07-2025,Budget,
C00126,56,Male,Guntur,10-09-2024,Premium,
C00127,31,Female,Vijayawada,28-03-2023,Regular,
C00128,49,Female,Chennai,17-04-2025,Regular,
C00129,19,Female,Mumbai,21-09-2024,Regular,
C00130,59,Female,Ahmedabad,26-11-2024,Budget,
C00131,46,Male,Vijayawada,11-09-2024,Budget,
C00132,52,Female,Chennai,29-08-2024,Budget,
C00133,56,Male,Kolkata,10-04-2023,Regular,
C00134,28,Female,Hyderabad,04-09-2024,Regular,
C00135,39,Male,Pune,20-05-2025,Premium,
C00136,58,Male,Vijayawada,29-11-2023,Budget,
C00137,25,Female,Delhi,22-10-2024,Regular,
C00138,56,Male,Kolkata,03-02-2023,Regular,
C00139,31,Female,Kolkata,16-01-2024,Budget,
C00140,45,Male,Kolkata,23-04-2024,Budget,
C00141,41,Female,Kolkata,12-12-2025,Regular,
C00142,50,Female,Guntur,23-08-2023,Regular,
C00143,57,Female,Hyderabad,30-10-2023,Budget,
C00144,34,Male,Guntur,23-03-2024,Budget,
C00145,26,Male,Vijayawada,22-12-2025,Budget,
C00146,37,Male,Vijayawada,23-07-2025,Regular,
C00147,46,Male,Mumbai,07-02-2023,Regular,
C00148,53,Female,Pune,14-09-2023,Budget,
C00149,53,Male,Mumbai,18-06-2025,Regular,
C00150,33,Male,Guntur,05-03-2023,Premium,
C00151,61,Male,Delhi,25-07-2025,Budget,
C00152,21,Female,Mumbai,05-11-2023,Budget,
C00153,23,Male,Kolkata,01-10-2025,Budget,
C00154,19,Male,Hyderabad,18-11-2023,Budget,
C00155,61,Male,Mumbai,20-04-2024,Regular,
C00156,26,Male,Chennai,25-12-2024,Regular,
C00157,46,Female,Mumbai,19-05-2023,Regular,
C00158,56,Male,Delhi,01-09-2024,Budget,
C00159,54,Female,Hyderabad,06-07-2024,Regular,
C00160,62,Female,Guntur,08-05-2025,Budget,
C00161,20,Female,Delhi,26-12-2025,Budget,
C00162,37,Female,Mumbai,28-12-2024,Budget,
C00163,41,Female,Bengaluru,24-03-2024,Premium,
C00164,50,Male,Vijayawada,20-03-2024,Regular,
C00165,47,Female,Guntur,02-04-2024,Regular,
C00166,44,Female,Delhi,10-06-2025,Regular,
C00167,32,Female,Mumbai,18-12-2023,Budget,
C00168,23,Female,Delhi,02-07-2023,Regular,
C00169,38,Male,Vijayawada,02-01-2024,Regular,
C00170,30,Male,Chennai,25-01-2023,Premium,
C00171,44,Male,Kolkata,27-04-2023,Regular,
C00172,55,Male,Vijayawada,09-04-2023,Budget,
C00173,43,Male,Ahmedabad,24-04-2025,Premium,
C00174,45,Male,Guntur,01-03-2025,Regular,
C00175,19,Female,Vijayawada,01-02-2025,Budget,
C00176,48,Female,Hyderabad,20-05-2024,Budget,
C00177,38,Female,Chennai,24-02-2025,Budget,
C00178,23,Female,Bengaluru,26-06-2023,Regular,
C00179,28,Male,Pune,13-09-2025,Regular,
C00180,54,Male,Delhi,02-07-2024,Budget,
C00181,61,Female,Hyderabad,24-10-2025,Budget,
C00182,41,Female,Pune,16-06-2023,Regular,
C00183,63,Female,Bengaluru,28-06-2024,Regular,
C00184,26,Female,Delhi,01-02-2025,Budget,
C00185,32,Female,Mumbai,26-06-2024,Budget,
C00186,61,Female,Guntur,03-05-2024,Premium,
C00187,26,Female,Kolkata,22-02-2024,Premium,
C00188,48,Female,Kolkata,19-09-2023,Regular,
C00189,28,Male,Guntur,27-11-2023,Regular,
C00190,33,Male,Bengaluru,18-01-2025,Premium,
C00191,40,Male,Chennai,21-11-2024,Budget,
C00192,34,Female,Ahmedabad,01-02-2024,Premium,
C00193,59,Female,Ahmedabad,16-11-2025,Regular,
C00194,63,Male,Hyderabad,06-04-2023,Regular,
C00195,41,Male,Chennai,11-01-2024,Regular,
C00196,42,Female,Chennai,10-05-2023,Budget,
C00197,20,Male,Hyderabad,07-01-2024,Regular,
C00198,29,Female,Kolkata,19-11-2025,Regular,
C00199,19,Male,Hyderabad,06-02-2024,Budget,
