order_id,expected_delivery_date,actual_delivery_date,delivery_days,delivery_status,,,
O000001,08-04-2025,08-04-2025,5,On Time,,,
O000002,23-07-2025,23-07-2025,3,On Time,,,
O000003,30-07-2026,30-07-2026,4,On Time,,,0
O000004,30-07-2026,30-07-2026,4,On Time,,,0
O000005,17-01-2026,17-01-2026,8,On Time,,,
O000006,14-09-2025,18-09-2025,10,Late,,,
O000007,12-06-2025,13-06-2025,9,Late,,,
O000008,23-01-2026,23-01-2026,3,Not Shipped,,,
O000009,18-08-2025,18-08-2025,4,On Time,,,
O000010,11-03-2026,11-03-2026,1,On Time,,,
O000011,01-07-2025,01-07-2025,6,On Time,,,
O000012,12-03-2026,12-03-2026,8,On Time,,,
O000013,03-03-2026,03-03-2026,6,On Time,,,
O000014,21-02-2026,24-02-2026,7,Late,,,
O000015,25-02-2025,28-02-2025,11,Late,,,
O000016,03-08-2025,03-08-2025,8,On Time,,,
O000017,11-08-2026,11-08-2026,4,On Time,,,
O000018,22-09-2025,22-09-2025,1,On Time,,,
O000019,04-04-2025,04-04-2025,4,On Time,,,
O000020,17-02-2025,17-02-2025,7,On Time,,,
O000021,14-06-2026,14-06-2026,2,On Time,,,
O000022,28-08-2025,28-08-2025,2,On Time,,,
O000023,13-07-2025,13-07-2025,4,On Time,,,
O000024,16-07-2025,16-07-2025,8,On Time,,,
O000025,24-08-2025,24-08-2025,3,On Time,,,
O000026,04-01-2026,04-01-2026,2,On Time,,,
O000027,14-07-2025,14-07-2025,2,On Time,,,
O000028,26-06-2026,26-06-2026,5,On Time,,,
O000029,30-03-2025,30-03-2025,7,On Time,,,
O000030,24-06-2025,24-06-2025,2,On Time,,,
O000031,03-06-2026,03-06-2026,5,On Time,,,
O000032,27-12-2025,27-12-2025,4,On Time,,,
O000033,13-12-2025,13-12-2025,1,On Time,,,
O000034,14-08-2026,14-08-2026,5,On Time,,,
O000035,26-03-2026,26-03-2026,6,On Time,,,
O000036,18-10-2025,18-10-2025,2,On Time,,,
O000037,05-05-2026,05-05-2026,3,On Time,,,
O000038,09-09-2025,09-09-2025,8,On Time,,,
O000039,24-02-2026,24-02-2026,3,On Time,,,
O000040,04-12-2025,04-12-2025,2,On Time,,,
O000041,02-03-2025,02-03-2025,1,On Time,,,
O000042,06-07-2026,06-07-2026,1,On Time,,,
O000043,07-01-2026,07-01-2026,3,On Time,,,
O000044,15-02-2025,15-02-2025,6,On Time,,,
O000045,12-06-2025,12-06-2025,7,On Time,,,
O000046,12-12-2025,12-12-2025,8,On Time,,,
O000047,11-01-2026,11-01-2026,7,On Time,,,
O000048,22-06-2025,22-06-2025,6,On Time,,,
O000049,09-02-2025,09-02-2025,2,On Time,,,
O000050,06-07-2026,11-07-2026,9,Not Shipped,,,
O000051,06-01-2026,06-01-2026,5,On Time,,,
O000052,26-04-2025,26-04-2025,4,On Time,,,
O000053,06-05-2026,06-05-2026,5,On Time,,,
O000054,12-08-2025,14-08-2025,8,Late,,,
O000055,24-04-2025,24-04-2025,8,On Time,,,
O000056,03-05-2025,03-05-2025,8,On Time,,,
O000057,17-04-2025,22-04-2025,10,Late,,,
