product_id,product_name,category,brand,cost_price,selling_price,price_check,,,,,,,,
P0001,Product 0001,Fashion,UrbanX,4681.67,5484.1,Valid,,,,,,,,
P0002,Product 0002,Books,PrimeHome,10343.95,14360.25,Valid,,,,,,,,
P0003,Product 0003,Beauty,DailyNeeds,11898.35,16503.98,Valid,,,,,,,,
P0004,Product 0004,Home & Kitchen,UrbanX,13674.18,17925.77,Valid,,,,,,,,
P0005,Product 0005,Beauty,Nova,5988.27,7200.84,Valid,,,,,,,,
P0006,Product 0006,Sports,PrimeHome,14885.15,20443.88,Valid,,,,,,,,
P0007,Product 0007,Sports,UrbanX,1647.97,1919.83,Valid,,,,,,,,
P0008,Product 0008,Books,FitMax,12415.36,17804.25,Valid,,,,,,,,
P0009,Product 0009,Grocery,FitMax,4154.38,6257.33,Valid,,,,,,,,0
P0010,Product 0010,Books,UrbanX,14062.65,16288.94,Valid,,,,,,,,0
P0011,Product 0011,Electronics,PrimeHome,13051.03,19126.64,Valid,,,,,,,,
P0012,Product 0012,Home & Kitchen,PrimeHome,11457.83,13443.26,Valid,,,,,7,,,
P0013,Product 0013,Beauty,UrbanX,9095.84,11962.84,Valid,,,,,,,,
P0014,Product 0014,Sports,Nova,3295.4,4998.28,Valid,,,,,,,,
P0015,Product 0015,Grocery,FitMax,6982.69,7812.75,Valid,,,,,,,,
P0016,Product 0016,Beauty,TechPro,618.31,693.86,Valid,,,,,,,,0
P0017,Product 0017,Home & Kitchen,PrimeHome,10670.11,16331.67,Valid,,,,,,,,
P0018,Product 0018,Grocery,UrbanX,1826.6,2109.1,Valid,,,,,,,,
P0019,Product 0019,Books,PrimeHome,3948.49,4899.14,Valid,,,,,,,,
P0020,Product 0020,Beauty,UrbanX,3751.24,4860.58,Valid,,,,,,,,
P0021,Product 0021,Grocery,UrbanX,11840.43,12824.93,Valid,,,,,,,,
P0022,Product 0022,Home & Kitchen,FitMax,6069.65,7091.77,Valid,,,,,,,,
P0023,Product 0023,Fashion,TechPro,8064.66,11849.81,Valid,,,,,,,,
P0024,Product 0024,Electronics,UrbanX,3208.42,4247.5,Valid,,,,,,,,
P0025,Product 0025,Electronics,UrbanX,5078.12,6424.49,Valid,,,,,,,,
P0026,Product 0026,Grocery,DailyNeeds,7727.29,10822.27,Valid,,,,,,,,
P0027,Product 0027,Electronics,TechPro,2993.64,3690.08,Valid,,,,,,,,
P0028,Product 0028,Books,FitMax,10378.21,13347.55,Valid,,,,,,,,
P0029,Product 0029,Electronics,DailyNeeds,6794.08,10510.79,Valid,,,,,,,,
P0030,Product 0030,Fashion,PrimeHome,14756.39,21306.97,Valid,,,,,,,,
P0031,Product 0031,Home & Kitchen,TechPro,3773.3,5057.61,Valid,,,,,,,,
P0032,Product 0032,Fashion,PrimeHome,6001.29,7967.13,Valid,,,,,,,,
P0033,Product 0033,Electronics,Unknown,13877.48,20494.37,Valid,,,,,,,,
P0034,Product 0034,Grocery,Nova,13301.36,18121.87,Valid,,,,,,,,
P0035,Product 0035,Home & Kitchen,Nova,7314.13,9065.58,Valid,,,,,,,,
P0036,Product 0036,Home & Kitchen,FitMax,1941.54,2478.11,Valid,,,,,,,,
P0037,Product 0037,Books,FitMax,6190.84,7219.72,Valid,,,,,,,,
P0038,Product 0038,Grocery,PrimeHome,8851.23,13551.01,Valid,,,,,,,,
P0039,Product 0039,Home & Kitchen,FitMax,3888.01,5390.87,Valid,,,,,,,,
P0040,Product 0040,Beauty,DailyNeeds,2947.88,3735.93,Valid,,,,,,,,
P0041,Product 0041,Beauty,Nova,8018.42,10016.19,Valid,,,,,,,,
P0042,Product 0042,Fashion,UrbanX,2722.76,4101.26,Valid,,,,,,,,
P0043,Product 0043,Electronics,PrimeHome,13130.57,16404.66,Valid,,,,,,,,
