return_id,order_id,return_reason,return_date
R00001,O000013,Late Delivery,28-02-2026
R00002,O000068,Size/Fit Issue,28-09-2025
R00003,O000072,Changed Mind,21-06-2026
R00004,O000092,Late Delivery,21-12-2025
R00005,O000097,Size/Fit Issue,21-06-2025
R00006,O000125,Quality Issue,06-10-2025
R00007,O000145,Wrong Item,20-02-2026
R00008,O000177,Size/Fit Issue,20-05-2025
R00009,O000185,Late Delivery,27-04-2026
R00010,O000219,Late Delivery,12-03-2026
R00011,O000225,Size/Fit Issue,28-11-2025
R00012,O000238,Late Delivery,05-06-2026
R00013,O000258,Late Delivery,17-07-2026
R00014,O000274,Quality Issue,17-10-2025
R00015,O000309,Late Delivery,03-01-2026
R00016,O000320,Changed Mind,20-04-2025
R00017,O000338,Size/Fit Issue,19-02-2025
R00018,O000387,Size/Fit Issue,03-09-2026
R00019,O000389,Late Delivery,06-07-2025
R00020,O000402,Size/Fit Issue,16-03-2026
R00021,O000411,Damaged,10-09-2025
R00022,O000415,Size/Fit Issue,19-10-2025
R00023,O000428,Late Delivery,11-12-2025
R00024,O000460,Wrong Item,21-01-2025
R00025,O000504,Damaged,14-07-2026
R00026,O000509,Wrong Item,25-05-2025
R00027,O000519,Quality Issue,01-03-2025
R00028,O000526,Size/Fit Issue,27-06-2025
R00029,O000528,Size/Fit Issue,07-04-2026
R00030,O000545,Late Delivery,11-12-2025
R00031,O000550,Size/Fit Issue,02-06-2025
R00032,O000552,Quality Issue,16-07-2025
R00033,O000563,Quality Issue,13-02-2026
R00034,O000570,Late Delivery,31-03-2026
R00035,O000571,Damaged,23-03-2026
R00036,O000619,Damaged,25-10-2025
R00037,O000636,Wrong Item,27-11-2025
R00038,O000666,Late Delivery,23-02-2026
R00039,O000694,Changed Mind,12-07-2025
R00040,O000701,Size/Fit Issue,25-04-2026
R00041,O000706,Damaged,10-04-2026
R00042,O000710,Size/Fit Issue,28-02-2026
R00043,O000733,Damaged,31-08-2026
R00044,O000736,Quality Issue,26-02-2025
R00045,O000749,Damaged,18-03-2026
R00046,O000762,Size/Fit Issue,09-10-2025
R00047,O000794,Size/Fit Issue,29-03-2025
R00048,O000810,Changed Mind,10-07-2025
R00049,O000819,Wrong Item,03-08-2025
R00050,O000838,Wrong Item,25-01-2025
R00051,O000848,Size/Fit Issue,11-01-2026
R00052,O000853,Wrong Item,16-05-2025
R00053,O000906,Wrong Item,17-01-2025
R00054,O000909,Late Delivery,31-08-2025
R00055,O000913,Changed Mind,01-02-2025
R00056,O000934,Late Delivery,22-11-2025
R00057,O000989,Size/Fit Issue,07-07-2026
R00058,O001000,Size/Fit Issue,23-07-2025
R00059,O001040,Damaged,23-08-2025
R00060,O001106,Wrong Item,23-04-2025
R00061,O001116,Changed Mind,28-07-2026
R00062,O001130,Size/Fit Issue,31-03-2025
R00063,O001155,Wrong Item,26-04-2026
R00064,O001161,Size/Fit Issue,23-08-2025
R00065,O001165,Size/Fit Issue,21-03-2026
R00066,O001175,Quality Issue,27-03-2026
R00067,O001214,Quality Issue,25-10-2025
R00068,O001221,Size/Fit Issue,16-01-2026
R00069,O001226,Size/Fit Issue,13-02-2025
R00070,O001236,Late Delivery,14-08-2026
R00071,O001243,Damaged,24-04-2025
R00072,O001256,Quality Issue,09-07-2026
R00073,O001262,Wrong Item,08-09-2025
R00074,O001320,Size/Fit Issue,10-12-2025
R00075,O001333,Changed Mind,06-09-2026
R00076,O001334,Wrong Item,01-10-2025
R00077,O001341,Changed Mind,22-09-2025
R00078,O001346,Damaged,14-04-2025
R00079,O001393,Late Delivery,10-04-2025
R00080,O001410,Quality Issue,26-04-2026
R00081,O001417,Quality Issue,30-08-2025
R00082,O001426,Size/Fit Issue,17-11-2025
R00083,O001459,Size/Fit Issue,02-08-2026
R00084,O001465,Wrong Item,27-08-2026
R00085,O001469,Damaged,25-06-2026
R00086,O001485,Quality Issue,04-07-2026
R00087,O001497,Quality Issue,13-05-2025
R00088,O001532,Wrong Item,30-07-2026
R00089,O001535,Late Delivery,25-05-2026
R00090,O001556,Size/Fit Issue,29-05-2026
R00091,O001575,Damaged,04-07-2026
R00092,O001597,Size/Fit Issue,28-06-2026
R00093,O001604,Wrong Item,06-06-2026
R00094,O001635,Damaged,11-07-2025
R00095,O001682,Size/Fit Issue,11-01-2026
R00096,O001699,Quality Issue,30-07-2025
R00097,O001711,Changed Mind,18-02-2026
R00098,O001729,Quality Issue,06-09-2026
R00099,O001731,Wrong Item,06-01-2026
R00100,O001746,Damaged,04-10-2025
R00101,O001755,Size/Fit Issue,04-02-2026
R00102,O001769,Wrong Item,18-08-2026
R00103,O001775,Quality Issue,09-07-2025
R00104,O001779,Damaged,19-01-2026
R00105,O001781,Wrong Item,06-05-2025
R00106,O001795,Late Delivery,03-03-2025
R00107,O001808,Wrong Item,28-01-2026
R00108,O001811,Size/Fit Issue,15-06-2026
R00109,O001824,Size/Fit Issue,06-08-2026
