review_id,order_id,customer_id,product_id,rating,review_date
V000001,O000001,C04221,P0098,4,03-04-2025
V000002,O000003,C03673,P0037,3,26-07-2026
V000003,O000005,C03678,P0174,4,09-01-2026
V000004,O000007,C07210,P0289,2,04-06-2025
V000005,O000009,C09978,P0352,3,14-08-2025
V000006,O000010,C00993,P0006,3,10-03-2026
V000007,O000011,C05274,P0322,3,25-06-2025
V000008,O000014,C02623,P0454,3,17-02-2026
V000009,O000016,C00107,P0432,5,26-07-2025
V000010,O000017,C06245,P0385,5,07-08-2026
V000011,O000019,C04512,P0394,4,31-03-2025
V000012,O000021,C07729,P0299,3,12-06-2026
V000013,O000022,C09083,P0346,5,26-08-2025
V000014,O000023,C06067,P0067,5,09-07-2025
V000015,O000026,C05691,P0466,2,02-01-2026
V000016,O000027,C09531,P0001,4,12-07-2025
V000017,O000030,C07044,P0464,4,22-06-2025
V000018,O000031,C06895,P0190,5,29-05-2026
V000019,O000032,C02355,P0073,5,23-12-2025
V000020,O000033,C04108,P0099,2,12-12-2025
V000021,O000036,C03111,P0072,5,16-10-2025
V000022,O000037,C00927,P0004,1,02-05-2026
V000023,O000038,C02761,P0003,5,01-09-2025
V000024,O000039,C06494,P0421,4,21-02-2026
V000025,O000040,C03828,P0214,4,02-12-2025
V000026,O000042,C06245,P0496,5,05-07-2026
V000027,O000043,C08561,P0178,4,04-01-2026
V000028,O000045,C03110,P0318,2,05-06-2025
V000029,O000046,C08067,P0194,5,04-12-2025
V000030,O000047,C03439,P0409,4,04-01-2026
V000031,O000049,C06602,P0478,3,07-02-2025
V000032,O000051,C02202,P0141,4,01-01-2026
V000033,O000052,C03770,P0475,1,22-04-2025
V000034,O000058,C06790,P0194,3,12-06-2025
V000035,O000059,C04459,P0209,1,28-02-2025
V000036,O000064,C01714,P0131,2,09-12-2025
V000037,O000066,C06050,P0360,4,04-01-2025
V000038,O000067,C03656,P0314,3,24-08-2025
V000039,O000070,C00140,P0286,4,11-05-2025
V000040,O000073,C04803,P0265,4,13-08-2026
V000041,O000075,C03762,P0488,4,06-09-2025
V000042,O000076,C07829,P0489,4,13-09-2025
V000043,O000077,C04660,P0127,4,13-07-2026
V000044,O000078,C05282,P0174,5,02-07-2026
V000045,O000079,C00915,P0437,3,03-05-2026
V000046,O000081,C01389,P0330,4,02-10-2025
V000047,O000085,C02736,P0399,3,28-08-2025
V000048,O000086,C08158,P0422,5,11-04-2026
V000049,O000088,C00356,P0182,4,16-01-2026
V000050,O000091,C02212,P0303,3,01-10-2025
V000051,O000096,C08379,P0114,2,03-01-2025
V000052,O000098,C03792,P0473,4,15-12-2025
V000053,O000101,C05602,P0469,4,28-07-2025
V000054,O000103,C06069,P0386,4,04-02-2026
V000055,O000106,C06813,P0182,4,12-02-2026
V000056,O000107,C02455,P0198,3,10-06-2025
V000057,O000114,C08365,P0144,4,30-08-2025
V000058,O000115,C07300,P0325,3,12-09-2025
V000059,O000116,C05478,P0054,3,25-04-2026
V000060,O000117,C01320,P0266,3,09-06-2025
V000061,O000118,C06346,P0386,3,16-09-2025
V000062,O000122,C09059,P0356,4,15-06-2025
V000063,O000123,C09546,P0152,5,26-03-2026
V000064,O000126,C02869,P0265,2,20-01-2026
V000065,O000129,C05505,P0275,3,20-01-2026
V000066,O000130,C00797,P0325,4,04-02-2026
V000067,O000133,C07157,P0174,4,22-01-2025
V000068,O000138,C00482,P0147,5,27-05-2025
V000069,O000141,C09608,P0246,1,15-02-2026
V000070,O000147,C05334,P0457,3,17-06-2026
V000071,O000148,C09101,P0113,4,07-07-2025
V000072,O000151,C04181,P0338,3,03-04-2026
V000073,O000152,C09321,P0206,5,20-04-2025
V000074,O000156,C04348,P0138,3,14-05-2025
V000075,O000159,C02785,P0420,5,12-11-2025
V000076,O000160,C07415,P0439,1,26-09-2025
V000077,O000161,C07631,P0345,4,21-02-2025
V000078,O000164,C06822,P0387,4,03-08-2025
V000079,O000167,C05998,P0425,5,30-10-2025
V000080,O000168,C06524,P0374,4,31-03-2026
V000081,O000169,C01608,P0275,4,28-04-2025
V000082,O000170,C02796,P0284,5,29-05-2026
V000083,O000173,C05414,P0340,4,15-01-2026
V000084,O000174,C00028,P0403,5,23-10-2025
V000085,O000176,C05566,P0385,3,27-03-2025
V000086,O000178,C01423,P0347,4,16-06-2025
V000087,O000179,C05773,P0346,3,09-01-2025
V000088,O000180,C09609,P0019,4,16-09-2025
V000089,O000183,C09416,P0042,5,22-02-2026
V000090,O000184,C06060,P0110,1,30-01-2025
V000091,O000186,C02377,P0406,5,02-12-2025
V000092,O000187,C05787,P0199,4,21-03-2025
V000093,O000188,C09225,P0440,1,09-09-2025
V000094,O000189,C09815,P0447,4,21-08-2026
